1153,1555,28291.00,"2018-12-23 04:56:22"
702,1880,27552.00,"2018-12-17 17:08:49"
1555,1437,20542.00,"2018-12-01 18:31:16"
34,490,25291.00,"2018-11-15 00:55:23"
1791,814,11430.00,"2018-11-14 00:47:06"
1298,707,48851.00,"2018-11-17 23:37:46"
1913,1708,15921.00,"2018-11-18 19:57:45"
47,242,37532.00,"2018-10-14 11:02:08"
1356,1270,36942.00,"2018-10-22 19:11:40"
148,1249,31016.00,"2018-10-18 05:45:30"
1031,957,26447.00,"2018-11-24 04:01:24"
936,505,14638.00,"2018-12-11 01:00:12"
1934,13,28129.00,"2018-11-04 07:39:18"
1262,1985,2652.00,"2018-10-13 22:21:31"
1423,1124,32783.00,"2018-12-15 15:30:52"
243,793,45743.00,"2018-10-27 11:52:17"
669,407,42563.00,"2018-11-09 10:14:46"
1555,816,7063.00,"2018-11-24 09:47:21"
627,1754,41106.00,"2018-10-30 00:42:08"
1500,404,12966.00,"2018-10-21 19:43:01"
1166,1016,28390.00,"2018-12-18 14:09:24"
976,608,32605.00,"2018-12-12 09:34:49"
1826,1538,43600.00,"2018-11-24 03:48:57"
668,1050,37342.00,"2018-10-18 11:49:01"
1204,1473,1237.00,"2018-10-31 16:38:26"
1889,9,17034.00,"2018-12-02 17:39:18"
928,1412,40597.00,"2018-10-29 01:00:27"
391,1719,40961.00,"2018-12-16 04:08:40"
138,858,14149.00,"2018-10-29 15:18:37"
1095,1498,8241.00,"2018-11-12 01:05:52"
1046,1951,41582.00,"2018-11-07 21:26:08"
1203,1388,5679.00,"2018-12-27 00:21:09"
2000,1590,10780.00,"2018-11-22 00:08:39"
1157,616,26864.00,"2018-12-22 16:04:18"
1483,1114,19037.00,"2018-11-29 09:10:16"
89,1274,21049.00,"2018-12-06 08:27:52"
1844,1824,10037.00,"2018-12-30 01:32:51"
1701,205,46727.00,"2018-11-28 13:07:15"
972,346,21020.00,"2018-12-06 22:55:12"
1872,1849,41727.00,"2018-11-10 02:13:05"
1408,293,5150.00,"2018-10-31 15:25:36"
1298,1879,35810.00,"2018-11-21 05:17:58"
1984,1063,22654.00,"2018-12-11 09:57:34"
1153,416,45971.00,"2018-12-28 08:50:50"
585,990,22579.00,"2018-11-01 17:33:59"
1591,620,47849.00,"2018-10-23 23:00:05"
525,1319,43699.00,"2018-12-12 16:58:46"
389,660,3028.00,"2018-11-09 01:06:50"
1566,1806,22129.00,"2018-11-23 02:41:39"
1004,1658,3464.00,"2018-11-27 04:19:29"
1033,9,43538.00,"2018-10-16 18:36:51"
1961,1209,20975.00,"2018-11-18 15:39:34"
1760,1198,20400.00,"2018-10-15 14:27:49"
114,776,36102.00,"2018-12-06 00:36:35"
707,1054,20977.00,"2018-11-18 16:47:31"
1701,1491,6121.00,"2018-10-14 01:59:45"
771,1429,21896.00,"2018-11-23 00:19:39"
50,1606,45472.00,"2018-11-24 18:22:00"
673,718,1627.00,"2018-10-30 12:55:09"
1721,1563,2189.00,"2018-12-16 22:49:07"
332,1333,41390.00,"2018-11-03 02:48:22"
815,375,27306.00,"2018-12-14 20:12:30"
824,280,8278.00,"2018-12-24 01:51:30"
1364,1875,46118.00,"2018-10-15 05:23:38"
1670,1128,23380.00,"2018-12-04 14:05:57"
1223,1272,7846.00,"2018-11-22 05:11:28"
961,484,12024.00,"2018-12-14 17:08:07"
1408,1554,43008.00,"2018-12-29 06:59:03"
133,427,20286.00,"2018-10-12 18:47:15"
1827,1000,47624.00,"2018-10-19 13:27:54"
747,917,24574.00,"2018-11-11 02:11:01"
11,743,5347.00,"2018-11-01 10:04:34"
526,903,21469.00,"2018-11-30 15:18:48"
1941,1875,43426.00,"2018-12-16 01:57:45"
927,1376,16693.00,"2018-12-24 00:53:41"
