9,"KCAEE",1314.00,"2011-06-12 00:42:53"
12,"ZNMEA",11339.00,"2011-04-03 09:46:44"
18,"ESTVB",42565.00,"2011-07-30 11:58:07"
23,"VPUUN",14757.00,"2011-03-08 05:09:20"
29,"HWECF",34466.00,"2011-11-14 09:23:49"
31,"FYSGR",8552.00,"2011-08-07 18:30:51"
48,"WKXMJ",35524.00,"2011-07-17 01:34:06"
64,"CCENT",25250.00,"2011-04-14 08:45:09"
77,"OSMUV",3566.00,"2011-10-28 18:38:09"
94,"HIXVH",45115.00,"2011-05-30 09:35:22"
102,"WZIYX",43121.00,"2011-12-23 13:02:10"
104,"ULTUL",34605.00,"2011-01-24 15:07:21"
108,"NCZQC",24941.00,"2011-10-05 01:44:33"
114,"FKFEI",45977.00,"2011-08-26 08:11:19"
115,"FBZJI",12725.00,"2011-08-04 13:18:28"
118,"RGCDC",8204.00,"2011-06-19 22:32:12"
126,"ZIWJR",33721.00,"2011-06-18 09:32:34"
139,"NMEZZ",13864.00,"2011-03-31 23:01:15"
146,"DWMAB",9549.00,"2011-03-22 10:33:00"
155,"XEABB",24026.00,"2011-05-29 22:19:36"
157,"JMWQC",37638.00,"2011-09-24 22:25:36"
159,"TQDZR",1070.00,"2011-02-19 21:12:59"
176,"IOXAI",34223.00,"2011-05-02 12:33:36"
185,"IGALB",19138.00,"2011-03-22 17:01:14"
198,"XWHWF",37376.00,"2011-06-27 18:03:17"
219,"JHSLC",29197.00,"2011-05-19 03:36:27"
229,"IZSXG",44977.00,"2011-07-16 07:04:12"
242,"YYQEI",48073.00,"2011-09-27 07:26:40"
245,"LKSDP",1780.00,"2011-10-26 09:38:03"
250,"RJXCV",47595.00,"2011-01-12 21:16:40"
256,"PNPRM",11091.00,"2011-09-17 05:20:22"
259,"UTQPV",21681.00,"2011-02-06 07:15:59"
262,"SGJMM",1210.00,"2011-12-02 00:17:30"
273,"ZGOPF",6897.00,"2011-05-19 13:56:24"
277,"SGCTR",6264.00,"2011-03-17 06:41:53"
297,"KEPBI",39648.00,"2011-07-24 08:13:10"
299,"XXUUQ",45171.00,"2011-09-06 13:35:10"
304,"CXBZL",39703.00,"2011-02-15 20:08:02"
335,"INOKO",5958.00,"2011-09-06 14:58:15"
336,"AFZGV",26576.00,"2011-01-18 00:27:44"
342,"YIZKX",32870.00,"2011-11-10 17:23:31"
344,"JKXVV",19572.00,"2011-03-02 05:03:54"
351,"TOHET",33184.00,"2011-08-30 21:23:25"
360,"LEHSO",14890.00,"2011-09-12 04:28:46"
